Generation,Cohesion,Alignment,Separation,Fitness
9,59.71968,0.20447232000000004,0.35389440000000005,0.46759435049578296
9,22.1184,0.25559040000000005,0.4423680000000001,0.43289490653825696
9,14.155776000000001,0.16357785600000005,0.28311552000000006,0.20772164854195677
10,33.177600000000005,0.17039360000000003,0.4423680000000001,0.9987591902848509
10,49.7664,0.17039360000000003,0.4423680000000001,0.9984151192373916
10,41.472,0.21299200000000004,0.3686400000000001,0.997550047225038
10,39.813120000000005,0.13631488000000003,0.3538944000000001,0.9972156014987132
10,17.69472,0.30670848000000006,0.23592960000000007,0.9956270191913519
10,33.177600000000005,0.17039360000000003,0.4423680000000001,0.9950658046668759
10,26.542080000000006,0.20447232000000004,0.3538944000000001,0.9925343109873395
10,14.155776000000001,0.36805017600000006,0.18874368000000008,0.9924827564112747
10,14.155776000000001,0.24536678400000003,0.28311552000000006,0.991725151206072
10,26.542080000000006,0.20447232000000004,0.3538944000000001,0.9867801065578025
10,11.324620800000002,0.2944401408,0.22649241600000006,0.9861982337718533
10,26.542080000000006,0.13631488000000003,0.5308416000000001,0.9837761302136181
10,33.177600000000005,0.17039360000000003,0.4423680000000001,0.9831440905994887
10,33.177600000000005,0.25559040000000005,0.29491200000000006,0.9825929205295321
10,39.813120000000005,0.20447232000000004,0.3538944000000001,0.9774996502959763
10,11.324620800000002,0.19629342720000004,0.33973862400000004,0.9179195818051724
10,14.155776000000001,0.24536678400000006,0.18874368000000008,0.5464720941582597
10,16.9869312,0.19629342720000004,0.33973862400000004,0.46796527107252733
10,21.233664,0.36805017600000006,0.18874368000000008,0.32904734758987325
10,39.813120000000005,0.13631488000000003,0.3538944000000001,0.1510480808899716
11,49.7664,0.17039360000000003,0.4423680000000001,0.9989015924504813
11,33.177600000000005,0.17039360000000003,0.4423680000000001,0.998855342423843
11,39.813120000000005,0.13631488000000003,0.3538944000000001,0.9987079664567077
11,47.775744,0.10905190400000003,0.2831155200000001,0.9985093314956807
11,49.7664,0.17039360000000003,0.4423680000000001,0.9983448686289781
11,39.81312,0.20447232000000004,0.3538944000000001,0.997972225823852
11,39.813120000000005,0.13631488000000003,0.3538944000000001,0.9969674127701758
11,33.177600000000005,0.17039360000000003,0.4423680000000001,0.9967065211903736
11,21.233664,0.24536678400000006,0.18874368000000008,0.9959353135530603
11,17.69472,0.30670848000000006,0.23592960000000007,0.9958790308000478
11,26.542080000000006,0.13631488000000003,0.5308416000000001,0.9956467069593201
11,21.233664,0.24536678400000006,0.18874368000000008,0.9895801416984846
11,39.81312,0.13631488000000003,0.5308416000000001,0.9884611120714228
11,47.775744,0.16357785600000002,0.2831155200000001,0.9873719947690511
11,41.472,0.21299200000000004,0.3686400000000001,0.9864660077138157
11,14.155776000000001,0.36805017600000006,0.28311552000000006,0.9663981562062482
11,33.177600000000005,0.25559040000000005,0.29491200000000006,0.9590625404737451
11,47.775744,0.16357785600000002,0.2831155200000001,0.8891829393353997
11,39.813120000000005,0.20447232000000004,0.3538944000000001,0.7281915988538773
11,39.81312,0.13631488000000003,0.3538944000000001,0.5980014822419492
12,39.813120000000005,0.13631488000000003,0.3538944000000001,0.9993255755401198
12,26.542080000000006,0.13631488000000003,0.3538944000000001,0.99930831712905
12,59.71968,0.13631488000000003,0.3538944000000001,0.9987704344210387
12,31.850496000000007,0.10905190400000003,0.4246732800000001,0.998713000394964
12,31.850496000000007,0.10905190400000003,0.2831155200000001,0.9984221889263052
12,33.177600000000005,0.17039360000000003,0.4423680000000001,0.9982231830788745
12,31.850496000000007,0.10905190400000003,0.2831155200000001,0.9980972360059174
12,49.7664,0.17039360000000003,0.4423680000000001,0.998039256016218
12,49.7664,0.17039360000000003,0.4423680000000001,0.9975641445556244
12,47.775744,0.10905190400000003,0.2831155200000001,0.9973709972859007
12,38.220595200000005,0.08724152320000003,0.2264924160000001,0.996922879795107
